GPST,Ax,Ay,Az,Gx,Gy,Gz
390884.272,-1.83384355,-9.6693569,1.4121575999999998,-0.042,-0.014,-0.027
390884.312,-1.7161637499999998,-9.5516771,1.36312435,-0.018,-0.058,0.003
390884.352,-1.61809725,-9.5320638,1.32389775,-0.016,-0.115,0.044
390884.392,-1.5004174499999998,-9.63993695,1.2944778,-0.018,-0.15,0.031
390884.432,-1.3533177,-9.71839015,1.36312435,-0.018,-0.104,0.027
390884.472,-1.3337044,-9.38496405,1.28467115,0.002,-0.09,0.07
390884.512,-1.372931,-9.7281968,1.4219642499999998,-0.01,0.012,0.049
390884.552,-1.59848395,-9.6301303,1.1964112999999998,-0.024,0.036,0.017
390884.592,-1.52003075,-9.5516771,1.3337044,0.016,-0.074,0.053
390884.632,-1.55925735,-9.65955025,1.4808041499999998,-0.007,0.04,0.07
390884.672,-1.8436502,-9.60071035,1.1179581,-0.006,-0.048,-0.001
390884.712,-1.569064,-9.99297635,1.46119085,0.027,-0.076,-0.005
390884.752,-1.67693715,-9.63993695,1.20621795,0.04,-0.026,0.021
390884.792,-1.46119085,-9.5712904,1.1571847,0.078,-0.161,0.029
390884.832,-1.2552512,-9.6889702,1.4808041499999998,0.069,0.006,0.003
390884.872,-1.4121575999999998,-9.54187045,1.0983448,0.053,0.127,-0.01
390884.912,-1.4317708999999998,-9.48303055,1.2356379,0.051,0.069,-0.025
390884.952,-1.36312435,-9.54187045,1.4121575999999998,0.037,0.162,-0.064
390884.992,-1.57887065,-9.52225715,1.32389775,0.028,0.24,-0.076
390885.032,-1.7848102999999995,-9.4536106,1.2944778,0.014,0.175,-0.109
390885.072,-1.7161637499999998,-9.502643849999998,1.4317708999999998,0.005,0.149,-0.118
390885.112,-1.8044236,-9.610517,1.4317708999999998,0.004,0.154,-0.089
390885.151,-1.7946169499999998,-9.67916355,1.4709975,0.019,0.132,-0.051
390885.191,-1.7357770499999998,-9.60071035,1.44157755,0.042,0.071,0.013
390885.231,-1.6082906,-9.62032365,1.5494507,0.046,0.03,0.017
390885.271,-1.4906107999999998,-9.5516771,1.5494507,0.042,0.031,0.009
390885.311,-1.4317708999999998,-9.52225715,1.61809725,0.041,0.036,0.005
390885.351,-1.4513842,-9.58109705,1.57887065,0.034,0.077,-0.009
390885.391,-1.4709975,-9.610517,1.55925735,0.034,0.09,-0.021
390885.431,-1.5298374,-9.48303055,1.4906107999999998,0.026,0.079,-0.018
390885.471,-1.5004174499999998,-9.610517,1.4513842,0.022,0.058,-0.034
390885.511,-1.5102240999999998,-9.4339973,1.5102240999999998,0.003,0.077,-0.049
